Logs,Boot ID,MAC Address,Bit-1 Sample,Base Sample,Phase 3,Bit-0 Sample,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error
out/09-10-00-28/log,04ce8066-c867-440a-b76f-e4161cdaca8b,8E:C1:22:40:22:0D,out/09-10-00-28/bit1_samples545,out/09-10-00-28/base_samples545,908,out/09-10-00-28/bit0_samples545,717,896,3,2020-09-10 07:28:45,2020-09-10 07:30:01,545,c5da3ccb-43dd-41ea-9663-aff6c5d6a745,1,
out/09-10-00-28/log,9e1d6c1c-e808-4f3c-b4ad-860f880a0fb5,82:BD:4F:5C:38:DA,out/09-10-00-28/bit1_samples612,out/09-10-00-28/base_samples612,869,out/09-10-00-28/bit0_samples612,768,664,3,2020-09-10 07:28:39,2020-09-10 07:30:00,612,dde68e0e-b8d1-451d-8c24-ead549ba70f1,1,
out/09-10-00-28/log,a0b3ecae-aa71-4f46-8400-f9e489f96c31,1E:74:85:31:A0:5B,out/09-10-00-28/bit1_samples809,out/09-10-00-28/base_samples809,844,out/09-10-00-28/bit0_samples809,832,812,3,2020-09-10 07:28:48,2020-09-10 07:30:01,809,75263fbf-7187-43e2-9220-1f9073d04411,1,
out/09-10-00-28/log,3256b9a3-4e90-4924-8c58-f2ce3256d808,AA:AF:4C:DA:2B:78,out/09-10-00-28/bit1_samples60,out/09-10-00-28/base_samples60,856,out/09-10-00-28/bit0_samples60,60,384,3,2020-09-10 07:28:31,2020-09-10 07:30:00,60,d8ca4868-7593-44b8-b515-84ee211516cc,1,
out/09-10-00-28/log,03a9198c-2e07-4863-af87-19e0ef52a7b3,72:AB:5A:78:E7:51,out/09-10-00-28/bit1_samples905,out/09-10-00-28/base_samples905,905,out/09-10-00-28/bit0_samples905,905,913,3,2020-09-10 07:28:46,2020-09-10 07:30:01,905,463ed4a9-331c-4128-9c3c-1ec5b5857376,1,
out/09-10-00-28/log,0f0be62e-0956-47d1-8efb-ef20901c235f,76:E4:61:24:2E:C1,out/09-10-00-28/bit1_samples551,out/09-10-00-28/base_samples551,979,out/09-10-00-28/bit0_samples551,933,576,3,2020-09-10 07:28:35,2020-09-10 07:30:01,551,3796a5b9-60cf-4bc4-956d-d55da14e0abf,1,
out/09-10-00-28/log,b402c804-d76f-4008-808e-defa0942c02b,8A:CA:53:EE:48:4F,out/09-10-00-28/bit1_samples397,out/09-10-00-28/base_samples397,415,out/09-10-00-28/bit0_samples397,417,449,3,2020-09-10 07:28:33,2020-09-10 07:30:01,397,798a4dd8-2c86-4c43-a6a8-06859e4448a8,1,
out/09-10-00-28/log,01cb242b-59cc-4a8c-a8e5-7384875c79b7,16:B6:C3:4B:1B:11,out/09-10-00-28/bit1_samples506,out/09-10-00-28/base_samples506,506,out/09-10-00-28/bit0_samples506,506,506,3,2020-09-10 07:28:39,2020-09-10 07:30:00,506,ab1374d3-2a8c-41cc-b76d-9468ebc6ce4e,1,
out/09-10-00-28/log,5386b88c-890f-4fd8-8649-693478c77688,FE:EA:E9:BD:35:87,out/09-10-00-28/bit1_samples876,out/09-10-00-28/base_samples876,879,out/09-10-00-28/bit0_samples876,913,885,3,2020-09-10 07:28:58,2020-09-10 07:30:00,876,dad1fb06-b4d8-421c-acc7-88abf252b9ad,1,
out/09-10-00-28/log,022cf6a4-5cb2-4eef-be70-9efe9ce1f39e,D6:42:8D:1F:F0:C9,out/09-10-00-28/bit1_samples530,out/09-10-00-28/base_samples530,601,out/09-10-00-28/bit0_samples530,1020,685,3,2020-09-10 07:28:38,2020-09-10 07:30:00,530,b39b19f3-d56d-4d60-ba1c-f29dca3eabc5,1,
out/09-10-00-28/log,dfa20976-f11e-4b1e-b594-f8d9efe01e96,A6:A9:EB:E5:15:32,out/09-10-00-28/bit1_samples167,out/09-10-00-28/base_samples167,320,out/09-10-00-28/bit0_samples167,337,848,3,2020-09-10 07:28:31,2020-09-10 07:30:01,167,219478ca-ab1f-432d-9d28-9ea978b8984f,1,
out/09-10-00-28/log,61d1d60d-300a-4713-bb86-7d6d13f99178,C6:5A:BB:02:41:54,out/09-10-00-28/bit1_samples552,out/09-10-00-28/base_samples552,826,out/09-10-00-28/bit0_samples552,804,558,3,2020-09-10 07:28:36,2020-09-10 07:30:00,552,b028ef10-4d32-426e-8307-41b3ba193576,1,
out/09-10-00-28/log,31984a04-672a-49ec-9d59-3b34cfb2ef81,62:67:48:C1:28:72,out/09-10-00-28/bit1_samples326,out/09-10-00-28/base_samples326,359,out/09-10-00-28/bit0_samples326,326,326,3,2020-09-10 07:28:31,2020-09-10 07:30:00,326,d949a614-f836-485c-806b-7838641e2c8f,1,
out/09-10-00-28/log,d4973845-ec85-411b-87d4-f2cb7dee3d48,BA:7A:5C:72:5B:5A,out/09-10-00-28/bit1_samples441,out/09-10-00-28/base_samples441,441,out/09-10-00-28/bit0_samples441,441,441,3,2020-09-10 07:29:02,2020-09-10 07:30:01,441,cd4837ca-0b98-48aa-aa29-4ade7a75d2d7,1,
out/09-10-00-28/log,7d382d99-cb2f-4df1-ad4f-701ed74f7390,DA:C5:CE:4F:D4:51,out/09-10-00-28/bit1_samples532,out/09-10-00-28/base_samples532,858,out/09-10-00-28/bit0_samples532,555,714,3,2020-09-10 07:28:41,2020-09-10 07:30:00,532,062af9fe-56f1-45d1-81d7-194acb29dada,1,
out/09-10-00-28/log,3f8b58c2-05b2-407c-b554-dd07c252c1d1,52:A0:B5:DC:5B:2D,out/09-10-00-28/bit1_samples829,out/09-10-00-28/base_samples829,858,out/09-10-00-28/bit0_samples829,876,836,3,2020-09-10 07:28:51,2020-09-10 07:30:01,829,594d4435-6135-4627-b197-5708ec621d9f,1,
out/09-10-00-28/log,332de7ac-d47d-4ff6-9efe-ebf8dac5c328,DE:BD:87:DA:51:39,out/09-10-00-28/bit1_samples146,out/09-10-00-28/base_samples146,147,out/09-10-00-28/bit0_samples146,155,147,3,2020-09-10 07:28:31,2020-09-10 07:30:00,146,0e5f9513-24f3-4b63-b399-6eb2bb2991b3,1,
out/09-10-00-28/log,86155180-3c11-40d0-9d31-65c34bec109e,0E:85:63:C0:D6:D6,out/09-10-00-28/bit1_samples121,out/09-10-00-28/base_samples121,121,out/09-10-00-28/bit0_samples121,121,121,3,2020-09-10 07:28:31,2020-09-10 07:30:01,121,c44a80c9-c489-4c20-b149-4d28b3114a05,1,
out/09-10-00-28/log,b9b90249-99e3-4e3b-8691-9935bc360c5e,A6:2B:0C:05:D7:C6,out/09-10-00-28/bit1_samples336,out/09-10-00-28/base_samples336,486,out/09-10-00-28/bit0_samples336,350,376,3,2020-09-10 07:28:33,2020-09-10 07:30:00,336,610bb344-c0e0-42d4-a0e4-d620c2a34d07,1,
out/09-10-00-28/log,bcfb36c8-9125-469f-a253-8bfe4e85d89c,C2:1D:A0:34:64:88,out/09-10-00-28/bit1_samples202,out/09-10-00-28/base_samples202,290,out/09-10-00-28/bit0_samples202,547,851,3,2020-09-10 07:28:31,2020-09-10 07:30:00,202,da947127-ca36-4711-a5f0-5ed4c680fa66,1,
out/09-10-00-28/log,923275bd-825f-41d5-bd08-eb645fcf8f70,8E:85:42:80:BF:2D,out/09-10-00-28/bit1_samples102,out/09-10-00-28/base_samples102,102,out/09-10-00-28/bit0_samples102,770,370,3,2020-09-10 07:28:31,2020-09-10 07:30:00,102,df4c4859-05cc-437d-ad72-7349ee1130b3,1,
out/09-10-00-28/log,fb911d1f-4132-4adc-a240-3d15dd678776,46:0B:86:55:88:17,out/09-10-00-28/bit1_samples196,out/09-10-00-28/base_samples196,972,out/09-10-00-28/bit0_samples196,940,1003,3,2020-09-10 07:28:31,2020-09-10 07:30:00,196,78ad6578-295f-487f-8ffd-efd27cd64d82,1,
out/09-10-00-28/log,da062ac7-93f4-46d3-88d4-564547493202,2A:04:37:94:49:3F,out/09-10-00-28/bit1_samples830,out/09-10-00-28/base_samples830,830,out/09-10-00-28/bit0_samples830,830,830,3,2020-09-10 07:28:44,2020-09-10 07:30:00,830,708d7a02-8b0a-4d14-bb87-ee76f3e3febf,1,
out/09-10-00-28/log,21eae42f-b4e4-4aae-b693-7c50f811c725,12:47:AD:80:1F:74,out/09-10-00-28/bit1_samples544,out/09-10-00-28/base_samples544,824,out/09-10-00-28/bit0_samples544,740,960,3,2020-09-10 07:28:39,2020-09-10 07:30:00,544,ce2ced81-510d-4e23-a6ae-027976393dd4,1,
out/09-10-00-28/log,766be09f-0736-4d7b-b9f3-9431ec103636,92:9F:F3:FC:B8:05,out/09-10-00-28/bit1_samples291,out/09-10-00-28/base_samples291,640,out/09-10-00-28/bit0_samples291,604,773,3,2020-09-10 07:28:31,2020-09-10 07:30:01,291,03c8d369-94d6-4e16-8851-8cd638c4ec76,1,
out/09-10-00-28/log,beff58db-a638-445c-bd31-16f501f56b13,A6:98:7A:A7:C0:0E,out/09-10-00-28/bit1_samples221,out/09-10-00-28/base_samples221,704,out/09-10-00-28/bit0_samples221,221,221,3,2020-09-10 07:28:31,2020-09-10 07:30:01,221,608e9451-ccb9-430d-acd7-9054689865d3,1,
out/09-10-00-28/log,eb84ffaf-81f8-4c05-af8c-41c797dcf452,E6:51:82:40:E2:2D,out/09-10-00-28/bit1_samples264,out/09-10-00-28/base_samples264,637,out/09-10-00-28/bit0_samples264,482,836,3,2020-09-10 07:28:31,2020-09-10 07:30:00,264,40689408-9544-4143-ac93-4ace323d17ad,1,
out/09-10-00-28/log,8296d1ad-a5ae-48cb-be52-92294c54d52e,72:47:56:27:65:D3,out/09-10-00-28/bit1_samples624,out/09-10-00-28/base_samples624,936,out/09-10-00-28/bit0_samples624,643,798,3,2020-09-10 07:28:33,2020-09-10 07:30:00,624,2e5a4149-aaef-40ac-aab2-ef1389172b16,1,
out/09-10-00-28/log,3eb25e98-6826-4c93-982f-2b8a4f1bf772,E6:EA:D3:5C:6B:F1,out/09-10-00-28/bit1_samples251,out/09-10-00-28/base_samples251,568,out/09-10-00-28/bit0_samples251,524,688,3,2020-09-10 07:28:31,2020-09-10 07:30:01,251,327e2ef1-2e51-4d3b-8f34-0d1eb72c7919,1,
out/09-10-00-28/log,6be10f4f-ac85-4083-963e-36d2b53ff437,DE:05:CE:08:23:CA,out/09-10-00-28/bit1_samples18,out/09-10-00-28/base_samples18,160,out/09-10-00-28/bit0_samples18,64,268,3,2020-09-10 07:28:31,2020-09-10 07:30:00,18,079a73e6-4482-4cfd-bc0d-5fa50f33a004,1,
out/09-10-00-28/log,f607eb08-1909-44ed-9a8b-cbd0ceb1915f,E2:0A:A8:4F:7A:03,out/09-10-00-28/bit1_samples671,out/09-10-00-28/base_samples671,671,out/09-10-00-28/bit0_samples671,768,671,3,2020-09-10 07:28:35,2020-09-10 07:30:01,671,3f4c1481-0736-4c48-a9d1-f297cc993a7d,1,
out/09-10-00-28/log,db0ec7b3-7547-456c-8c69-29290247a865,DE:07:B9:56:CA:30,out/09-10-00-28/bit1_samples370,out/09-10-00-28/base_samples370,376,out/09-10-00-28/bit0_samples370,448,448,3,2020-09-10 07:28:36,2020-09-10 07:30:00,370,412c3f37-4246-4532-8582-e105e3703c3a,1,
out/09-10-00-28/log,a64f2ed5-0bf6-4ac7-aa7d-107d54895cf5,7E:C5:23:03:2C:E5,out/09-10-00-28/bit1_samples690,out/09-10-00-28/base_samples690,690,out/09-10-00-28/bit0_samples690,690,690,3,2020-09-10 07:28:48,2020-09-10 07:30:00,690,32228b06-8c1c-44b1-8193-95534cbd5362,1,
out/09-10-00-28/log,98829994-f1df-4ca5-9406-f973decf5c1f,32:03:87:B0:5F:71,out/09-10-00-28/bit1_samples831,out/09-10-00-28/base_samples831,831,out/09-10-00-28/bit0_samples831,831,896,3,2020-09-10 07:28:47,2020-09-10 07:30:01,831,3a64f4f9-9aa8-4541-8e67-a588a4e96b3c,1,
out/09-10-00-28/log,f87f4e22-ca08-4eb8-a090-3f9cf59527ab,F6:CF:A7:81:65:7B,out/09-10-00-28/bit1_samples420,out/09-10-00-28/base_samples420,427,out/09-10-00-28/bit0_samples420,507,424,3,2020-09-10 07:28:40,2020-09-10 07:30:00,420,7031f40e-8283-4da8-bdd1-a2042902f050,1,
out/09-10-00-28/log,197ad551-abc9-42e1-b1be-f891bfc1cef5,5A:CA:60:79:48:32,out/09-10-00-28/bit1_samples595,out/09-10-00-28/base_samples595,660,out/09-10-00-28/bit0_samples595,629,872,3,2020-09-10 07:28:42,2020-09-10 07:30:01,595,8fbd8de1-00e2-4397-a45d-c4de923a6a17,1,
out/09-10-00-28/log,6a66bcc1-3b09-44cc-85bf-f7182e499f55,B2:AE:30:81:4C:4D,out/09-10-00-28/bit1_samples618,out/09-10-00-28/base_samples618,716,out/09-10-00-28/bit0_samples618,775,619,3,2020-09-10 07:28:45,2020-09-10 07:30:00,618,1e0c9f0e-3db4-4a5e-94bd-39c6bda44b84,1,
out/09-10-00-28/log,3a92a0fd-13aa-4d38-80a5-2a757920fdb4,AA:00:B6:D9:D5:51,out/09-10-00-28/bit1_samples272,out/09-10-00-28/base_samples272,272,out/09-10-00-28/bit0_samples272,272,272,3,2020-09-10 07:28:31,2020-09-10 07:30:00,272,6e799b88-55b2-4bdc-b616-82132a8d969c,1,
out/09-10-00-28/log,eb2e9f32-8024-4edf-9efb-38e64b05adde,0E:3A:3D:2D:17:B7,out/09-10-00-28/bit1_samples430,out/09-10-00-28/base_samples430,552,out/09-10-00-28/bit0_samples430,430,430,3,2020-09-10 07:28:56,2020-09-10 07:30:00,430,95c3429e-3894-481d-be5f-075661ddf37e,1,
out/09-10-00-28/log,6aa1a982-c8f4-4b53-9dbd-5974de7c0377,6A:C9:95:11:1F:6E,out/09-10-00-28/bit1_samples990,out/09-10-00-28/base_samples990,991,out/09-10-00-28/bit0_samples990,996,991,3,2020-09-10 07:28:46,2020-09-10 07:30:00,990,ed408a7e-0479-4cd4-bd43-c0209a29905c,1,
out/09-10-00-28/log,162f27f4-74e9-4948-92dd-e4624a5f4f59,C6:15:22:CD:6E:06,out/09-10-00-28/bit1_samples932,out/09-10-00-28/base_samples932,944,out/09-10-00-28/bit0_samples932,932,952,3,2020-09-10 07:28:42,2020-09-10 07:30:00,932,e2565b62-d273-4498-bfdc-09be389e8eed,1,
out/09-10-00-28/log,2f5c6d99-2a91-4acd-9a3c-8df422c338b1,A2:A4:31:20:C9:A3,out/09-10-00-28/bit1_samples410,out/09-10-00-28/base_samples410,1015,out/09-10-00-28/bit0_samples410,735,959,3,2020-09-10 07:28:42,2020-09-10 07:30:00,410,27544596-1609-4241-bcde-9156b2ab1fc1,1,
out/09-10-00-28/log,c4f05b19-0313-441e-a9ad-a7e5a22e1e80,66:6E:9F:1E:98:8E,out/09-10-00-28/bit1_samples181,out/09-10-00-28/base_samples181,204,out/09-10-00-28/bit0_samples181,400,224,3,2020-09-10 07:28:31,2020-09-10 07:30:01,181,652c30fd-6e6c-45ff-9b3f-599c3576a6c3,1,
out/09-10-00-28/log,43431eaf-2d74-4cbe-ab69-793e4cd7cc19,82:AE:62:DC:69:43,out/09-10-00-28/bit1_samples31,out/09-10-00-28/base_samples31,201,out/09-10-00-28/bit0_samples31,33,485,3,2020-09-10 07:28:31,2020-09-10 07:30:01,31,0106c573-bfa3-4895-a7a9-b53cc7e089f5,1,
out/09-10-00-28/log,9553015b-b410-4c48-8f25-9bf06c42f284,06:36:06:E9:30:AA,out/09-10-00-28/bit1_samples352,out/09-10-00-28/base_samples352,784,out/09-10-00-28/bit0_samples352,616,601,3,2020-09-10 07:28:34,2020-09-10 07:30:00,352,15923c36-3afc-4445-8a16-1428d24ad5b9,1,
out/09-10-00-28/log,d44f3d63-3143-4d80-af15-bf9ea1ecd8ef,A6:37:58:06:0A:9B,out/09-10-00-28/bit1_samples621,out/09-10-00-28/base_samples621,1009,out/09-10-00-28/bit0_samples621,769,848,3,2020-09-10 07:28:39,2020-09-10 07:30:01,621,0773d6e9-2fb2-4b6e-ba3d-8bebaee78819,1,
out/09-10-00-28/log,e158d85e-2fb1-48c5-bc75-88048068d8a8,82:B8:8A:79:ED:96,out/09-10-00-28/bit1_samples431,out/09-10-00-28/base_samples431,431,out/09-10-00-28/bit0_samples431,431,431,3,2020-09-10 07:28:37,2020-09-10 07:30:01,431,5226a3b9-3850-49af-8fb5-4392a99445b3,1,
out/09-10-00-28/log,fee8d639-4558-465f-b966-416a58729ddc,BE:AE:AE:C0:9E:99,out/09-10-00-28/bit1_samples670,out/09-10-00-28/base_samples670,771,out/09-10-00-28/bit0_samples670,670,710,3,2020-09-10 07:28:35,2020-09-10 07:30:00,670,701494a0-839a-478d-8b61-30d9ae51f891,1,
out/09-10-00-28/log,b0074a89-3a09-4ee5-a075-6537fc625878,76:A7:C0:63:F5:D2,out/09-10-00-28/bit1_samples218,out/09-10-00-28/base_samples218,523,out/09-10-00-28/bit0_samples218,241,656,3,2020-09-10 07:28:31,2020-09-10 07:30:00,218,21e6157d-b49a-4a90-b4c4-cd65baf5f311,1,
out/09-10-00-28/log,20c910bf-e961-4d49-9620-9764cee472f6,12:B7:DC:F4:DA:E4,out/09-10-00-28/bit1_samples600,out/09-10-00-28/base_samples600,604,out/09-10-00-28/bit0_samples600,792,784,3,2020-09-10 07:28:34,2020-09-10 07:30:00,600,9c5d1dc1-dcfb-469c-81a7-fc0474bb691c,1,
out/09-10-00-28/log,32783402-7b4c-4af2-859f-70b7da904a55,06:A2:AE:0D:3F:03,out/09-10-00-28/bit1_samples215,out/09-10-00-28/base_samples215,1016,out/09-10-00-28/bit0_samples215,672,232,3,2020-09-10 07:28:31,2020-09-10 07:30:01,215,a0994c4a-ca6c-4cdc-a355-3747cb7e5356,1,
out/09-10-00-28/log,566519f0-c00c-4c5f-988c-04f6944013ac,96:81:83:FD:4F:F4,out/09-10-00-28/bit1_samples21,out/09-10-00-28/base_samples21,256,out/09-10-00-28/bit0_samples21,140,392,3,2020-09-10 07:28:31,2020-09-10 07:30:01,21,aa21f4b2-f182-402b-bc12-61ec188b34eb,1,
out/09-10-00-28/log,7d941585-77e2-4528-9f84-cf7b1da29085,86:A9:72:F0:DA:B8,out/09-10-00-28/bit1_samples150,out/09-10-00-28/base_samples150,384,out/09-10-00-28/bit0_samples150,924,418,3,2020-09-10 07:28:31,2020-09-10 07:30:00,150,92a87d72-9655-44a7-9733-3fffcaa5567a,1,
out/09-10-00-28/log,5875ddc9-8b76-44e7-9eaf-6db849d51028,5E:BA:66:EB:C9:5C,out/09-10-00-28/bit1_samples764,out/09-10-00-28/base_samples764,896,out/09-10-00-28/bit0_samples764,896,832,3,2020-09-10 07:28:38,2020-09-10 07:30:00,764,c55553de-0cfc-43b4-9b89-77217115d155,1,
out/09-10-00-28/log,7fc21ce4-3165-4f74-9cd3-a67dbf66d78c,4A:AE:64:AC:1B:38,out/09-10-00-28/bit1_samples539,out/09-10-00-28/base_samples539,732,out/09-10-00-28/bit0_samples539,716,836,3,2020-09-10 07:28:51,2020-09-10 07:30:01,539,0acf9892-f859-445d-92cc-bac39e8487f9,1,
out/09-10-00-28/log,29ab94ce-7121-4c1b-9261-10c875dbefdc,96:F2:DA:9C:33:93,out/09-10-00-28/bit1_samples724,out/09-10-00-28/base_samples724,832,out/09-10-00-28/bit0_samples724,884,800,3,2020-09-10 07:28:58,2020-09-10 07:30:00,724,045861ff-aa3a-471f-85c9-63b0572eede8,1,
out/09-10-00-28/log,6d7aafd0-abd1-461a-9e6f-81206fe69907,7E:43:77:10:F9:75,out/09-10-00-28/bit1_samples710,out/09-10-00-28/base_samples710,710,out/09-10-00-28/bit0_samples710,710,710,3,2020-09-10 07:28:35,2020-09-10 07:30:00,710,9e9c6fd5-f9d7-484c-922a-b13857ec66ab,1,
out/09-10-00-28/log,a96ed65d-5c6b-4806-b046-8549c04d4d81,96:5E:E4:26:56:6F,out/09-10-00-28/bit1_samples708,out/09-10-00-28/base_samples708,962,out/09-10-00-28/bit0_samples708,723,872,3,2020-09-10 07:28:36,2020-09-10 07:30:00,708,af5b54cb-d64b-4a11-b1ff-a4ae536c9f0c,1,
out/09-10-00-28/log,431490ba-b62f-47ba-909a-0f28189854c6,C6:A8:76:EB:71:A7,out/09-10-00-28/bit1_samples238,out/09-10-00-28/base_samples238,306,out/09-10-00-28/bit0_samples238,420,436,3,2020-09-10 07:28:31,2020-09-10 07:30:00,238,0b6bb9fb-dc28-4899-bdac-b42627bd6168,1,
out/09-10-00-28/log,220d50b8-d437-44f9-8978-1d39af60300f,86:56:AE:93:12:1F,out/09-10-00-28/bit1_samples967,out/09-10-00-28/base_samples967,976,out/09-10-00-28/bit0_samples967,967,978,3,2020-09-10 07:28:46,2020-09-10 07:30:01,967,09825dcf-d8e2-42fb-ac2f-14b6a2b9b03c,1,
out/09-10-00-28/log,6e3d52a4-60aa-4599-aa30-afa76fa585c4,F2:28:85:B2:E4:0C,out/09-10-00-28/bit1_samples86,out/09-10-00-28/base_samples86,582,out/09-10-00-28/bit0_samples86,717,88,3,2020-09-10 07:28:31,2020-09-10 07:30:00,86,4e83b0c1-8ecc-4350-a660-4ebf5e028bfc,1,
out/09-10-00-28/log,d91b785a-080b-4594-b4da-3781decece39,EA:77:89:68:64:B6,out/09-10-00-28/bit1_samples75,out/09-10-00-28/base_samples75,312,out/09-10-00-28/bit0_samples75,266,306,3,2020-09-10 07:28:32,2020-09-10 07:30:01,75,c8297208-60c4-4c36-a526-f55df323866b,1,
out/09-10-00-28/log,940cfdd4-b7f0-43d7-9c89-736e9cc63b94,DA:91:07:EB:5A:BB,out/09-10-00-28/bit1_samples535,out/09-10-00-28/base_samples535,876,out/09-10-00-28/bit0_samples535,1023,882,3,2020-09-10 07:28:44,2020-09-10 07:30:01,535,aeb23284-025a-4bd7-b80e-35784d79737e,1,
out/09-10-00-28/log,a796af17-eabe-4f4e-9d19-aefec5794b4e,2E:CA:7F:C2:3C:DD,out/09-10-00-28/bit1_samples333,out/09-10-00-28/base_samples333,333,out/09-10-00-28/bit0_samples333,335,371,3,2020-09-10 07:28:31,2020-09-10 07:30:01,333,570ff61c-a9df-488c-95fc-1edf3527441d,1,
out/09-10-00-28/log,42716204-bd9a-4067-be42-599fa5384842,A2:38:3F:8E:D5:F5,out/09-10-00-28/bit1_samples391,out/09-10-00-28/base_samples391,960,out/09-10-00-28/bit0_samples391,393,391,3,2020-09-10 07:28:49,2020-09-10 07:30:01,391,aa649b0c-449b-46f5-b9ab-fb25eb1cc1c6,1,
out/09-10-00-28/log,97e81698-a56c-4d55-94d6-4d2a93c85a54,4A:F3:49:DD:DE:3A,out/09-10-00-28/bit1_samples737,out/09-10-00-28/base_samples737,811,out/09-10-00-28/bit0_samples737,873,846,3,2020-09-10 07:28:42,2020-09-10 07:30:01,737,fb62f385-c428-46b6-9a59-3d7f3541ba9d,1,
out/09-10-00-28/log,b2a87d49-e435-4c0f-b2e2-9f45c2b46676,6A:71:4F:6B:64:53,out/09-10-00-28/bit1_samples864,out/09-10-00-28/base_samples864,932,out/09-10-00-28/bit0_samples864,893,894,3,2020-09-10 07:28:46,2020-09-10 07:30:00,864,4051eae8-480d-49f5-a96f-e908411080bf,1,
out/09-10-00-28/log,793cf68c-d146-426d-ace9-fcb17aea61b8,E6:11:FF:53:23:7F,out/09-10-00-28/bit1_samples345,out/09-10-00-28/base_samples345,448,out/09-10-00-28/bit0_samples345,376,417,3,2020-09-10 07:28:31,2020-09-10 07:30:01,345,a289d2da-a457-48fb-adcf-db3a2d6f81bb,1,
out/09-10-00-28/log,023428a3-d9c5-44f1-bc34-e12d997b0618,E2:92:5E:05:46:7F,out/09-10-00-28/bit1_samples95,out/09-10-00-28/base_samples95,386,out/09-10-00-28/bit0_samples95,460,417,3,2020-09-10 07:28:31,2020-09-10 07:30:01,95,82a08cfe-08c6-42fa-9f36-ea6041a4ac50,1,
out/09-10-00-28/log,9da10ce6-7fb0-4e76-87de-ca7aa12e014b,BE:C1:3B:DF:F0:AD,out/09-10-00-28/bit1_samples139,out/09-10-00-28/base_samples139,508,out/09-10-00-28/bit0_samples139,182,160,3,2020-09-10 07:28:31,2020-09-10 07:30:01,139,2c3bf30f-875b-4cc6-9c2b-5119acd86c88,1,
out/09-10-00-28/log,29413ca7-c4e2-40a1-a27a-f57ff597f2a5,62:4C:92:E1:96:A3,out/09-10-00-28/bit1_samples879,out/09-10-00-28/base_samples879,960,out/09-10-00-28/bit0_samples879,892,942,3,2020-09-10 07:28:45,2020-09-10 07:30:01,879,94050fab-1460-45aa-806d-6644844fab26,1,
out/09-10-00-28/log,93950cda-6f68-42b3-aac0-1b80fcd52e0b,32:2E:BB:24:E3:70,out/09-10-00-28/bit1_samples943,out/09-10-00-28/base_samples943,943,out/09-10-00-28/bit0_samples943,943,943,3,2020-09-10 07:28:50,2020-09-10 07:30:01,943,f7d48ee6-8cda-44bb-bfc1-f814d7a665ea,1,
out/09-10-00-28/log,ddd01339-f668-4cbc-8fda-b05cda51905a,22:AE:4D:69:FB:16,out/09-10-00-28/bit1_samples801,out/09-10-00-28/base_samples801,928,out/09-10-00-28/bit0_samples801,974,947,3,2020-09-10 07:28:48,2020-09-10 07:30:01,801,09675fc1-2198-488e-8705-60b10e7b864d,1,
out/09-10-00-28/log,c37ddda7-dd44-4810-a7f4-5f1a2abd05af,96:F9:BA:18:6E:D2,out/09-10-00-28/bit1_samples450,out/09-10-00-28/base_samples450,450,out/09-10-00-28/bit0_samples450,450,624,3,2020-09-10 07:28:43,2020-09-10 07:30:00,450,095a5f8b-f097-4aed-965e-24e9e840ae6a,1,
out/09-10-00-28/log,cdc285c5-aaad-44ab-9da9-a2d8efd61e26,06:CF:E6:60:83:D1,out/09-10-00-28/bit1_samples306,out/09-10-00-28/base_samples306,950,out/09-10-00-28/bit0_samples306,358,454,3,2020-09-10 07:28:31,2020-09-10 07:30:00,306,5e5ae75d-7891-421a-83fb-fe78c3c2f7d8,1,
out/09-10-00-28/log,5f1b887f-b13c-4630-b293-d455a9308a7b,72:1D:E2:CA:60:A5,out/09-10-00-28/bit1_samples127,out/09-10-00-28/base_samples127,127,out/09-10-00-28/bit0_samples127,512,127,3,2020-09-10 07:28:31,2020-09-10 07:30:01,127,fbbaf048-8bb3-459f-b7e0-ce28e3c7905f,1,
out/09-10-00-28/log,5bf6155b-062f-438c-9ae6-ca7fce12518f,9A:99:42:90:34:FD,out/09-10-00-28/bit1_samples884,out/09-10-00-28/base_samples884,888,out/09-10-00-28/bit0_samples884,886,886,3,2020-09-10 07:28:49,2020-09-10 07:30:00,884,4b8cd0c0-0870-41ed-9308-053796162b57,1,
out/09-10-00-28/log,3ef7bbf2-a4e5-488a-a99b-16220cd61831,BE:69:E3:35:F1:8A,out/09-10-00-28/bit1_samples340,out/09-10-00-28/base_samples340,928,out/09-10-00-28/bit0_samples340,380,340,3,2020-09-10 07:28:31,2020-09-10 07:30:00,340,f51ab0c7-1992-42b7-bdcc-ad248c4c44f1,1,
out/09-10-00-28/log,32e824ce-fe41-4583-aea0-d50b2abf9971,92:D6:AC:9C:C7:2B,out/09-10-00-28/bit1_samples178,out/09-10-00-28/base_samples178,178,out/09-10-00-28/bit0_samples178,178,178,3,2020-09-10 07:28:31,2020-09-10 07:30:00,178,7a718d93-9c86-4b06-b39e-73f76923dadc,1,
out/09-10-00-28/log,cdc3f2be-f947-42e9-aff5-026898121ea8,0E:E8:D3:AF:AB:6B,out/09-10-00-28/bit1_samples718,out/09-10-00-28/base_samples718,719,out/09-10-00-28/bit0_samples718,718,780,3,2020-09-10 07:28:56,2020-09-10 07:30:00,718,bbe7750b-bc36-4f8a-9fb0-7955024358eb,1,
