Logs,Boot ID,MAC Address,Bit-0 Sample,Bit-1 Sample,Base Sample,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error
out/09-10-13-14/log,3d83eba0-16e1-41da-b14f-093624b1f243,3E:A4:21:27:AE:AC,out/09-10-13-14/bit0_samples372,out/09-10-13-14/bit1_samples372,out/09-10-13-14/base_samples372,384,1,2020-09-10 20:14:02,2020-09-10 20:15:21,372,7fca99dd-aff3-435b-bc44-09bce0da370f,1,
out/09-10-13-14/log,10d77141-1421-4587-b8e9-d16d7402482f,12:E3:50:9D:C3:67,out/09-10-13-14/bit0_samples855,out/09-10-13-14/bit1_samples855,out/09-10-13-14/base_samples855,855,1,2020-09-10 20:14:11,2020-09-10 20:15:22,855,656b0ad5-68f6-4f17-b8e7-6c7f9ba1164a,1,
out/09-10-13-14/log,76562e0f-65ef-4e65-a195-03a1eaee95b6,22:E3:94:0C:E2:B8,out/09-10-13-14/bit0_samples600,out/09-10-13-14/bit1_samples600,out/09-10-13-14/base_samples600,612,1,2020-09-10 20:14:04,2020-09-10 20:15:21,600,e5cf8af0-eb79-4329-9974-d8a4da3c8386,1,
out/09-10-13-14/log,2477b8ba-af14-424c-8f0c-a8f86893da79,EE:C4:2D:98:76:72,out/09-10-13-14/bit0_samples531,out/09-10-13-14/bit1_samples531,out/09-10-13-14/base_samples531,532,1,2020-09-10 20:14:05,2020-09-10 20:15:22,531,4ceb5c47-3b70-4b91-8352-435fdc7a5a14,1,
out/09-10-13-14/log,f3dac936-1dd6-45b1-9e98-be1d884041e9,7E:21:B1:99:42:A6,out/09-10-13-14/bit0_samples638,out/09-10-13-14/bit1_samples638,out/09-10-13-14/base_samples638,638,1,2020-09-10 20:14:05,2020-09-10 20:15:21,638,05f1acae-10cf-467c-b578-b58465882da1,1,
out/09-10-13-14/log,ea2da1bc-5c20-4af0-9683-0f9174e3b191,E6:C6:73:9E:8B:F8,out/09-10-13-14/bit0_samples508,out/09-10-13-14/bit1_samples508,out/09-10-13-14/base_samples508,508,1,2020-09-10 20:14:17,2020-09-10 20:15:21,508,576460df-0750-4f0f-bb1d-872a29a29e47,1,
out/09-10-13-14/log,69e22f56-84f7-46c0-8475-d1d38b306faa,EE:9B:FD:31:9E:A3,out/09-10-13-14/bit0_samples232,out/09-10-13-14/bit1_samples232,out/09-10-13-14/base_samples232,232,1,2020-09-10 20:14:02,2020-09-10 20:15:21,232,7b2d42ec-67bd-4c05-81f7-4a5c412495d1,1,
out/09-10-13-14/log,58d09a8f-30f6-41c9-907f-2ad9780df7c4,82:CA:33:E0:FD:03,out/09-10-13-14/bit0_samples713,out/09-10-13-14/bit1_samples713,out/09-10-13-14/base_samples713,720,1,2020-09-10 20:14:15,2020-09-10 20:15:22,713,df23cdb4-35e3-4973-b963-70713471ace8,1,
out/09-10-13-14/log,db8b8305-941c-4dff-ae0a-3eec2d5122d8,D6:46:AB:B4:80:A3,out/09-10-13-14/bit0_samples733,out/09-10-13-14/bit1_samples733,out/09-10-13-14/base_samples733,733,1,2020-09-10 20:14:26,2020-09-10 20:15:22,733,9a429952-763d-4ab7-ba25-20d5eb1899d1,1,
out/09-10-13-14/log,078ecc07-4bc2-4179-b3fa-6a37898c031f,66:37:6E:C7:AD:7A,out/09-10-13-14/bit0_samples158,out/09-10-13-14/bit1_samples158,out/09-10-13-14/base_samples158,512,1,2020-09-10 20:14:02,2020-09-10 20:15:21,158,cfee04e1-b8a7-4652-a166-be1f66e63892,1,
out/09-10-13-14/log,5c75caae-01b2-4f39-b06a-abe5d41a3ba4,76:1F:AF:AA:18:ED,out/09-10-13-14/bit0_samples549,out/09-10-13-14/bit1_samples549,out/09-10-13-14/base_samples549,549,1,2020-09-10 20:14:06,2020-09-10 20:15:22,549,19397974-7352-4c7b-94c9-b921cb502568,1,
out/09-10-13-14/log,c19e608a-4f51-493c-9666-579af5f2657c,46:E4:32:8C:07:89,out/09-10-13-14/bit0_samples579,out/09-10-13-14/bit1_samples579,out/09-10-13-14/base_samples579,579,1,2020-09-10 20:14:11,2020-09-10 20:15:22,579,a8fe1d75-de49-469e-b063-7761b5938cc1,1,
out/09-10-13-14/log,4772d286-ea0e-4e8f-a331-7bb14546e903,72:21:AF:4C:2C:49,out/09-10-13-14/bit0_samples174,out/09-10-13-14/bit1_samples174,out/09-10-13-14/base_samples174,185,1,2020-09-10 20:14:02,2020-09-10 20:15:21,174,1dbb3e14-4891-4f9d-8477-de49a6a407c2,1,
out/09-10-13-14/log,75fedb3c-b89d-484b-866e-2439da4d6c10,76:F3:2B:A9:AB:7C,out/09-10-13-14/bit0_samples719,out/09-10-13-14/bit1_samples719,out/09-10-13-14/base_samples719,719,1,2020-09-10 20:14:35,2020-09-10 20:15:22,719,a8e438bd-89b9-4c55-81fb-791808ff59ba,1,
out/09-10-13-14/log,47449a91-58d2-411d-97a4-f8ff541dcdc7,9E:1B:30:8C:40:5A,out/09-10-13-14/bit0_samples205,out/09-10-13-14/bit1_samples205,out/09-10-13-14/base_samples205,256,1,2020-09-10 20:14:02,2020-09-10 20:15:22,205,63c1e8fa-471e-4a58-87dd-998ced4e0b35,1,
out/09-10-13-14/log,06936689-5cfa-4d87-a020-b0f21e97c121,C2:D5:0E:5D:16:DE,out/09-10-13-14/bit0_samples11,out/09-10-13-14/bit1_samples11,out/09-10-13-14/base_samples11,12,1,2020-09-10 20:14:36,2020-09-10 20:15:22,11,eee7441b-9b3e-4450-8d25-fc8bc2388360,1,
out/09-10-13-14/log,48a4adf0-8e8b-4abc-83a0-0e409545afae,22:4E:F2:24:89:18,out/09-10-13-14/bit0_samples287,out/09-10-13-14/bit1_samples287,out/09-10-13-14/base_samples287,287,1,2020-09-10 20:14:02,2020-09-10 20:15:22,287,00dc5f1d-696e-4ad8-ac28-f9e137863808,1,
out/09-10-13-14/log,9113f436-3aef-4968-b43f-d19a405dd1f4,D6:9E:68:45:38:DB,out/09-10-13-14/bit0_samples50,out/09-10-13-14/bit1_samples50,out/09-10-13-14/base_samples50,52,1,2020-09-10 20:14:02,2020-09-10 20:15:21,50,75a9dade-c2eb-4fa9-b865-3918afa9a4c5,1,
out/09-10-13-14/log,8b8a3d8a-86cd-48be-b5d3-94ff50c263eb,36:5C:78:8D:1F:2E,out/09-10-13-14/bit0_samples261,out/09-10-13-14/bit1_samples261,out/09-10-13-14/base_samples261,261,1,2020-09-10 20:14:02,2020-09-10 20:15:22,261,35661048-ef06-4150-9ec2-6c41899966ce,1,
out/09-10-13-14/log,1846ced3-d1bf-4695-bbc4-c44d388efc7a,72:F1:68:16:FE:19,out/09-10-13-14/bit0_samples253,out/09-10-13-14/bit1_samples253,out/09-10-13-14/base_samples253,290,1,2020-09-10 20:14:02,2020-09-10 20:15:22,253,d8b19bc1-a428-4910-a714-970e33887eda,1,
out/09-10-13-14/log,29ffac4f-aa18-448a-a16b-6d66c643e310,16:82:30:0B:74:62,out/09-10-13-14/bit0_samples136,out/09-10-13-14/bit1_samples136,out/09-10-13-14/base_samples136,136,1,2020-09-10 20:14:02,2020-09-10 20:15:21,136,867531ab-ceb5-400c-92c6-ce6757e13d4f,1,
out/09-10-13-14/log,6595b8d5-1df9-4584-8267-1291d99bfad5,42:E1:47:78:F0:A5,out/09-10-13-14/bit0_samples336,out/09-10-13-14/bit1_samples336,out/09-10-13-14/base_samples336,336,1,2020-09-10 20:14:02,2020-09-10 20:15:21,336,0499fa46-bc7c-4f17-a648-6e6968fdd97f,1,
out/09-10-13-14/log,9842d5c0-9351-4d8d-9260-93c65a8f1742,82:4E:9E:33:A9:7A,out/09-10-13-14/bit0_samples990,out/09-10-13-14/bit1_samples990,out/09-10-13-14/base_samples990,990,1,2020-09-10 20:14:21,2020-09-10 20:15:21,990,e74777b4-3fc3-41d2-942c-29b2c4007939,1,
out/09-10-13-14/log,89c1f012-0ace-47bc-9681-a3e741b453cc,9A:7A:9E:73:DD:75,out/09-10-13-14/bit0_samples208,out/09-10-13-14/bit1_samples208,out/09-10-13-14/base_samples208,208,1,2020-09-10 20:14:02,2020-09-10 20:15:21,208,aa1aeed6-5f3a-45e1-bc93-d331ddb2c3a5,1,
out/09-10-13-14/log,90c04804-4320-4ea3-acbc-0ecddf4a5eab,AE:F0:FA:2F:A7:BB,out/09-10-13-14/bit0_samples529,out/09-10-13-14/bit1_samples529,out/09-10-13-14/base_samples529,532,1,2020-09-10 20:14:04,2020-09-10 20:15:22,529,5a4f5de5-d70d-4fec-bce1-e629fbaf14e3,1,
out/09-10-13-14/log,f48a5d4d-cd0b-45c0-9c7b-44dc58c0741a,CE:29:43:48:48:B8,out/09-10-13-14/bit0_samples219,out/09-10-13-14/bit1_samples219,out/09-10-13-14/base_samples219,219,1,2020-09-10 20:14:02,2020-09-10 20:15:22,219,82c92a35-b4bb-4b24-973d-d1e7c1647a0d,1,
out/09-10-13-14/log,9f32d229-d8ca-451d-a96b-b1175ae3049f,96:B1:0C:1F:FD:76,out/09-10-13-14/bit0_samples102,out/09-10-13-14/bit1_samples102,out/09-10-13-14/base_samples102,106,1,2020-09-10 20:14:02,2020-09-10 20:15:21,102,a81653b9-753f-45df-bf99-696e0fcfa776,1,
out/09-10-13-14/log,6dab406a-9e43-40d8-ae09-796c7c1ef490,3A:DE:9D:88:56:89,out/09-10-13-14/bit0_samples12,out/09-10-13-14/bit1_samples12,out/09-10-13-14/base_samples12,12,1,2020-09-10 20:14:32,2020-09-10 20:15:21,12,f47fc6a3-44c2-428d-965e-0ff0068a3c97,1,
out/09-10-13-14/log,c0a3423f-bc30-45ca-a0c1-123489da797a,DA:5F:1B:12:0D:EB,out/09-10-13-14/bit0_samples339,out/09-10-13-14/bit1_samples339,out/09-10-13-14/base_samples339,339,1,2020-09-10 20:14:02,2020-09-10 20:15:22,339,bfc0f5ac-e51e-44a5-8d20-a8bfdee1267c,1,
out/09-10-13-14/log,7fa17fc4-5ba8-47d5-bff1-492c37ab0a78,B2:A3:89:86:CC:3A,out/09-10-13-14/bit0_samples112,out/09-10-13-14/bit1_samples112,out/09-10-13-14/base_samples112,116,1,2020-09-10 20:14:02,2020-09-10 20:15:21,112,9cc88ed1-f10f-41c4-b768-ffb7cf473566,1,
out/09-10-13-14/log,969b1ac2-de64-47ad-9adc-66a819949473,56:2D:88:66:F5:E0,out/09-10-13-14/bit0_samples86,out/09-10-13-14/bit1_samples86,out/09-10-13-14/base_samples86,90,1,2020-09-10 20:14:02,2020-09-10 20:15:21,86,1c28a2c8-65d9-4602-bfdd-d098db55abf6,1,
out/09-10-13-14/log,9a71138c-6d29-4a64-beef-281101bb9dca,92:FE:E2:64:31:37,out/09-10-13-14/bit0_samples961,out/09-10-13-14/bit1_samples961,out/09-10-13-14/base_samples961,961,1,2020-09-10 20:14:17,2020-09-10 20:15:22,961,14ecca05-b423-4a23-8063-d7731d60bc41,1,
out/09-10-13-14/log,26e767ef-3cf6-4b6c-845d-cef53426e392,32:4D:D0:74:98:73,out/09-10-13-14/bit0_samples537,out/09-10-13-14/bit1_samples537,out/09-10-13-14/base_samples537,537,1,2020-09-10 20:14:08,2020-09-10 20:15:22,537,3d08840a-fcc6-427b-9ffc-d74457653c0c,1,
out/09-10-13-14/log,d022f4a4-5e4f-44a3-8394-df985986c795,B6:D4:3C:75:96:78,out/09-10-13-14/bit0_samples735,out/09-10-13-14/bit1_samples735,out/09-10-13-14/base_samples735,735,1,2020-09-10 20:14:03,2020-09-10 20:15:22,735,16528705-096d-479f-9855-8c802b045811,1,
out/09-10-13-14/log,20d0146a-51d9-4f63-a49c-6a7489d49b85,66:AB:96:38:3A:E1,out/09-10-13-14/bit0_samples479,out/09-10-13-14/bit1_samples479,out/09-10-13-14/base_samples479,479,1,2020-09-10 20:14:02,2020-09-10 20:15:22,479,9d7136b4-ffbf-460e-aad6-f2bd584ade4d,1,
out/09-10-13-14/log,c377346c-40b2-44ab-ac48-ad0c8c190218,D6:38:DB:F0:57:89,out/09-10-13-14/bit0_samples667,out/09-10-13-14/bit1_samples667,out/09-10-13-14/base_samples667,667,1,2020-09-10 20:14:06,2020-09-10 20:15:22,667,b515afe8-f8db-426e-9602-24bd72f81102,1,
out/09-10-13-14/log,05dadc73-0aee-4622-a532-6454e7b62d00,AA:FD:75:B5:B0:E1,out/09-10-13-14/bit0_samples173,out/09-10-13-14/bit1_samples173,out/09-10-13-14/base_samples173,174,1,2020-09-10 20:14:02,2020-09-10 20:15:22,173,6b7c4562-ae4e-4565-87e8-a0c24ffa98d7,1,
out/09-10-13-14/log,b6d461f5-357d-408f-bae3-79f4d6cd4917,06:9E:1B:D3:56:FE,out/09-10-13-14/bit0_samples190,out/09-10-13-14/bit1_samples190,out/09-10-13-14/base_samples190,190,1,2020-09-10 20:14:02,2020-09-10 20:15:21,190,fe8b816c-821e-45da-a24d-a56cc505b69b,1,
out/09-10-13-14/log,df40db59-6ff7-40b2-870d-7195a0b11cb1,FE:F8:C9:8B:94:93,out/09-10-13-14/bit0_samples200,out/09-10-13-14/bit1_samples200,out/09-10-13-14/base_samples200,232,1,2020-09-10 20:14:02,2020-09-10 20:15:21,200,510fe8b9-7a19-47b9-b3ac-a74796a91d75,1,
out/09-10-13-14/log,b1105e86-baa8-444e-bfc3-ca3d15af12a0,62:5D:A2:7F:71:2E,out/09-10-13-14/bit0_samples211,out/09-10-13-14/bit1_samples211,out/09-10-13-14/base_samples211,212,1,2020-09-10 20:14:02,2020-09-10 20:15:22,211,7aeaaf9c-ffb7-4873-9f9d-2f6bdcb9f9bb,1,
out/09-10-13-14/log,f2e52521-5481-4e0f-9d41-9cb6cd074ea8,3A:89:10:9E:B5:0C,out/09-10-13-14/bit0_samples546,out/09-10-13-14/bit1_samples546,out/09-10-13-14/base_samples546,546,1,2020-09-10 20:14:03,2020-09-10 20:15:21,546,6e3dc5e3-13ae-4b16-9437-b0966fcd50e0,1,
out/09-10-13-14/log,aded8ff6-5697-4813-ae6c-ee1d96b22032,BE:D0:FA:BE:4A:0D,out/09-10-13-14/bit0_samples402,out/09-10-13-14/bit1_samples402,out/09-10-13-14/base_samples402,422,1,2020-09-10 20:14:02,2020-09-10 20:15:21,402,07d3f46c-97da-4781-a13e-a4265d29fce1,1,
out/09-10-13-14/log,9eb57c65-f2f9-4462-8173-e36e8b774b4f,A6:8F:78:10:77:54,out/09-10-13-14/bit0_samples250,out/09-10-13-14/bit1_samples250,out/09-10-13-14/base_samples250,250,1,2020-09-10 20:14:02,2020-09-10 20:15:21,250,88df0c1d-c205-47cc-ab69-0951a21288a9,1,
out/09-10-13-14/log,99a54682-4d27-4fbb-8e48-02de5c2fa973,1E:F9:59:6B:C4:39,out/09-10-13-14/bit0_samples37,out/09-10-13-14/bit1_samples37,out/09-10-13-14/base_samples37,97,1,2020-09-10 20:14:26,2020-09-10 20:15:22,37,2f99d5fe-aacc-4057-a332-8debc460d68b,1,
out/09-10-13-14/log,b55b0098-5b57-444e-a29d-94b791595d03,96:46:58:5E:24:78,out/09-10-13-14/bit0_samples732,out/09-10-13-14/bit1_samples732,out/09-10-13-14/base_samples732,732,1,2020-09-10 20:14:35,2020-09-10 20:15:21,732,19e7a540-a049-4794-ab61-f67c9cad09db,1,
out/09-10-13-14/log,6ea650b7-8a2f-49e7-89ed-4e67d07c572a,F6:D5:31:D9:F3:8D,out/09-10-13-14/bit0_samples389,out/09-10-13-14/bit1_samples389,out/09-10-13-14/base_samples389,389,1,2020-09-10 20:14:02,2020-09-10 20:15:22,389,fe3c0fb7-8e5e-4e5f-994e-80a80b0dcc68,1,
out/09-10-13-14/log,19e77c7f-2085-4826-b66c-6127fd155c45,36:82:AA:F9:2A:A4,out/09-10-13-14/bit0_samples535,out/09-10-13-14/bit1_samples535,out/09-10-13-14/base_samples535,535,1,2020-09-10 20:14:10,2020-09-10 20:15:22,535,b55e6665-2272-47e2-ab1c-a54fa314a338,1,
out/09-10-13-14/log,183d4964-5dec-48dd-a2a5-7c962c11988a,32:D7:AF:17:99:EC,out/09-10-13-14/bit0_samples217,out/09-10-13-14/bit1_samples217,out/09-10-13-14/base_samples217,217,1,2020-09-10 20:14:02,2020-09-10 20:15:22,217,8c5f2ab8-506f-4014-be45-775910760cd5,1,
out/09-10-13-14/log,8813a63a-2839-462e-8410-34b77c015b4f,66:48:01:AE:CD:3D,out/09-10-13-14/bit0_samples877,out/09-10-13-14/bit1_samples877,out/09-10-13-14/base_samples877,877,1,2020-09-10 20:14:25,2020-09-10 20:15:22,877,7ff5c822-2979-4fdd-b955-a75e4deaf50e,1,
out/09-10-13-14/log,aea5c022-4a05-463f-81a5-92a96698a399,7E:F9:95:35:98:B9,out/09-10-13-14/bit0_samples878,out/09-10-13-14/bit1_samples878,out/09-10-13-14/base_samples878,878,1,2020-09-10 20:14:19,2020-09-10 20:15:21,878,627bc7a2-6b28-4010-8aaa-3afaba6827cf,1,
out/09-10-13-14/log,2ce29f80-eb1e-45cd-a2a5-8af89c168c74,A6:FA:FF:9C:C4:14,out/09-10-13-14/bit0_samples442,out/09-10-13-14/bit1_samples442,out/09-10-13-14/base_samples442,516,1,2020-09-10 20:14:02,2020-09-10 20:15:21,442,6a9052da-1110-4a36-af26-71e0193c3528,1,
out/09-10-13-14/log,bd00603c-7822-4629-ba70-4d54c3bf80a8,D2:F2:A2:BB:A0:81,out/09-10-13-14/bit0_samples501,out/09-10-13-14/bit1_samples501,out/09-10-13-14/base_samples501,501,1,2020-09-10 20:14:02,2020-09-10 20:15:22,501,19b67f42-e097-4590-917c-e14c4d9a54ff,1,
out/09-10-13-14/log,77f486b1-776d-4514-996a-dce49b3bc97b,9A:82:15:4E:00:C6,out/09-10-13-14/bit0_samples917,out/09-10-13-14/bit1_samples917,out/09-10-13-14/base_samples917,960,1,2020-09-10 20:14:18,2020-09-10 20:15:22,917,5ca8fa5c-c591-4f2d-946d-f850cef7a638,1,
out/09-10-13-14/log,6a017602-f9f3-458b-9627-775f7be4af8e,0E:FB:EF:0C:3F:81,out/09-10-13-14/bit0_samples854,out/09-10-13-14/bit1_samples854,out/09-10-13-14/base_samples854,864,1,2020-09-10 20:14:11,2020-09-10 20:15:21,854,5575b741-df50-4917-afdb-f2c1118f83e8,1,
out/09-10-13-14/log,30297b99-aff6-4b83-bb11-3b19e7f6608d,D2:7C:9C:E2:2D:9E,out/09-10-13-14/bit0_samples538,out/09-10-13-14/bit1_samples538,out/09-10-13-14/base_samples538,538,1,2020-09-10 20:14:06,2020-09-10 20:15:21,538,908a38bf-bb9e-4b18-9dd9-5053cb57fdf4,1,
out/09-10-13-14/log,7a8e518d-7852-4cab-8781-4558dfdff960,C2:D8:35:CB:FE:59,out/09-10-13-14/bit0_samples509,out/09-10-13-14/bit1_samples509,out/09-10-13-14/base_samples509,509,1,2020-09-10 20:14:02,2020-09-10 20:15:22,509,a71249c0-a561-439f-a956-1c12be98bd31,1,
out/09-10-13-14/log,edfc01fe-400b-42c7-b818-19f54cc3e274,82:2E:D0:84:76:AA,out/09-10-13-14/bit0_samples32,out/09-10-13-14/bit1_samples32,out/09-10-13-14/base_samples32,32,1,2020-09-10 20:14:35,2020-09-10 20:15:21,32,468ecc54-274d-4d1b-8325-e856dbedba4d,1,
out/09-10-13-14/log,309e0757-c605-4d45-ae89-f13d765bcac4,16:52:2E:CE:6D:68,out/09-10-13-14/bit0_samples302,out/09-10-13-14/bit1_samples302,out/09-10-13-14/base_samples302,302,1,2020-09-10 20:14:02,2020-09-10 20:15:21,302,3b3aec8b-6dcf-4fcf-ab1c-8b89a8b8e17c,1,
out/09-10-13-14/log,67dde80c-a3b8-426a-939b-94713d1f2ad5,0A:69:CD:1E:FC:DD,out/09-10-13-14/bit0_samples698,out/09-10-13-14/bit1_samples698,out/09-10-13-14/base_samples698,698,1,2020-09-10 20:14:07,2020-09-10 20:15:21,698,a579521c-7ea9-462d-a9f7-68a454cd7112,1,
out/09-10-13-14/log,f14d1853-55aa-474b-9612-8df056d3bc7f,82:44:CB:2E:48:7C,out/09-10-13-14/bit0_samples938,out/09-10-13-14/bit1_samples938,out/09-10-13-14/base_samples938,938,1,2020-09-10 20:14:31,2020-09-10 20:15:21,938,516f2030-5d3f-482c-9cae-f7767665deb6,1,
out/09-10-13-14/log,c95a2567-6cb7-405b-8f98-31f938569d9c,1E:A4:DF:49:6F:2B,out/09-10-13-14/bit0_samples189,out/09-10-13-14/bit1_samples189,out/09-10-13-14/base_samples189,352,1,2020-09-10 20:14:02,2020-09-10 20:15:22,189,dcf37e3b-a728-4a95-a8df-ccded912259e,1,
out/09-10-13-14/log,f922bfd8-bbec-48c7-ab0c-633800f72569,FA:FB:59:EF:89:9E,out/09-10-13-14/bit0_samples609,out/09-10-13-14/bit1_samples609,out/09-10-13-14/base_samples609,609,1,2020-09-10 20:14:21,2020-09-10 20:15:22,609,20aaa398-682b-466d-8399-e1694a1bdc29,1,
out/09-10-13-14/log,8437d579-5aff-47b8-8baf-94529ce9728c,F2:0F:23:65:1A:EE,out/09-10-13-14/bit0_samples259,out/09-10-13-14/bit1_samples259,out/09-10-13-14/base_samples259,296,1,2020-09-10 20:14:02,2020-09-10 20:15:22,259,3c663f11-2163-4de7-9d45-2d667f4a5ad2,1,
out/09-10-13-14/log,284367b7-8ec6-44b0-9bc4-6c33dddce36d,16:97:81:C8:93:DF,out/09-10-13-14/bit0_samples912,out/09-10-13-14/bit1_samples912,out/09-10-13-14/base_samples912,912,1,2020-09-10 20:14:20,2020-09-10 20:15:21,912,30919c20-efcb-465a-9c7f-feb5c537d3a9,1,
out/09-10-13-14/log,291b5e67-b9fb-4a48-9b5d-6b580d898bf3,02:0D:77:D5:17:84,out/09-10-13-14/bit0_samples47,out/09-10-13-14/bit1_samples47,out/09-10-13-14/base_samples47,47,1,2020-09-10 20:14:02,2020-09-10 20:15:22,47,ad72b663-5e99-45c4-a38c-e1c1c532f534,1,
out/09-10-13-14/log,3948e53e-af81-43c8-be30-4006d2c71b6b,CE:CD:A0:A5:14:0C,out/09-10-13-14/bit0_samples896,out/09-10-13-14/bit1_samples896,out/09-10-13-14/base_samples896,922,1,2020-09-10 20:14:23,2020-09-10 20:15:21,896,4f338ed5-8a20-4286-8e38-f45d9a020130,1,
out/09-10-13-14/log,469fa704-bfb4-43d9-942e-6cb724df5866,BA:E4:0A:71:86:7C,out/09-10-13-14/bit0_samples256,out/09-10-13-14/bit1_samples256,out/09-10-13-14/base_samples256,256,1,2020-09-10 20:14:02,2020-09-10 20:15:21,256,b7cee9be-c514-4276-9fe4-1b7b8da827f8,1,
out/09-10-13-14/log,2079ea74-9727-49b8-9f22-b78e13fb7283,32:7B:71:08:FE:8A,out/09-10-13-14/bit0_samples221,out/09-10-13-14/bit1_samples221,out/09-10-13-14/base_samples221,221,1,2020-09-10 20:14:02,2020-09-10 20:15:22,221,8d08db8b-a0c7-4f3e-b58d-fd628cd8bf31,1,
out/09-10-13-14/log,79258405-128e-4dba-b888-0c62982df12e,66:95:90:10:44:04,out/09-10-13-14/bit0_samples684,out/09-10-13-14/bit1_samples684,out/09-10-13-14/base_samples684,686,1,2020-09-10 20:14:25,2020-09-10 20:15:21,684,b8a36cc1-2247-4440-9870-bf935c3efd07,1,
out/09-10-13-14/log,691075de-a683-4297-b374-c568719e7afa,3E:AA:34:6D:D5:6E,out/09-10-13-14/bit0_samples900,out/09-10-13-14/bit1_samples900,out/09-10-13-14/base_samples900,900,1,2020-09-10 20:14:06,2020-09-10 20:15:21,900,740fd5a1-cb58-4a60-ba91-383758023be9,1,
out/09-10-13-14/log,9f41da67-eabb-4f13-b0f5-755904d34b00,D6:F9:59:A0:0B:E8,out/09-10-13-14/bit0_samples734,out/09-10-13-14/bit1_samples734,out/09-10-13-14/base_samples734,734,1,2020-09-10 20:14:08,2020-09-10 20:15:21,734,b9c9136d-86f0-4fca-8339-e7499948ebae,1,
out/09-10-13-14/log,1ce01625-5a6e-4e1e-9fc5-db1f3d52f51a,C6:BD:F2:18:C9:DC,out/09-10-13-14/bit0_samples995,out/09-10-13-14/bit1_samples995,out/09-10-13-14/base_samples995,995,1,2020-09-10 20:14:16,2020-09-10 20:15:22,995,704901f9-77a4-45d3-97ad-0759789dc755,1,
out/09-10-13-14/log,38da42c9-63d0-4369-ab63-d2241386a103,22:D2:22:F4:E9:4F,out/09-10-13-14/bit0_samples180,out/09-10-13-14/bit1_samples180,out/09-10-13-14/base_samples180,180,1,2020-09-10 20:14:02,2020-09-10 20:15:21,180,3d0facf5-3ddc-445a-af62-782d8ead8169,1,
out/09-10-13-14/log,af91e1b7-432c-4270-a479-414f0018eb6c,32:4E:99:03:57:C2,out/09-10-13-14/bit0_samples701,out/09-10-13-14/bit1_samples701,out/09-10-13-14/base_samples701,701,1,2020-09-10 20:14:17,2020-09-10 20:15:22,701,f14fdc2f-7786-4fb8-9bbc-8deca6fc1017,1,
out/09-10-13-14/log,7693a823-6c56-42f9-b84b-1962c380491b,52:FC:4E:2B:56:3E,out/09-10-13-14/bit0_samples670,out/09-10-13-14/bit1_samples670,out/09-10-13-14/base_samples670,670,1,2020-09-10 20:14:04,2020-09-10 20:15:21,670,fcada171-29fc-487d-88c7-3f78a7f9c17a,1,
out/09-10-13-14/log,dd0bbe3e-6c49-4ea7-9808-0dc05ff9b7ce,2A:A9:ED:EF:BC:C3,out/09-10-13-14/bit0_samples871,out/09-10-13-14/bit1_samples871,out/09-10-13-14/base_samples871,871,1,2020-09-10 20:14:10,2020-09-10 20:15:22,871,e3ea7bcd-d3ee-4395-9fbc-26b0e6238086,1,
out/09-10-13-14/log,9a70667a-fe7a-4030-8335-9fd6eef4b5f6,C6:4C:FE:67:B7:BF,out/09-10-13-14/bit0_samples978,out/09-10-13-14/bit1_samples978,out/09-10-13-14/base_samples978,978,1,2020-09-10 20:14:24,2020-09-10 20:15:21,978,31a7b44e-bc3f-4a36-a56d-4f27596de29c,1,
out/09-10-13-14/log,e469fc9d-db49-4293-aa0c-9fae446ffa3b,7A:A3:40:67:C6:21,out/09-10-13-14/bit0_samples35,out/09-10-13-14/bit1_samples35,out/09-10-13-14/base_samples35,35,1,2020-09-10 20:14:33,2020-09-10 20:15:22,35,9c0b91dc-f08b-443d-b5ea-51f371e46e94,1,
out/09-10-13-14/log,44ab6531-26e8-4018-8d35-ddb69b5198c9,3A:96:73:70:DE:BF,out/09-10-13-14/bit0_samples813,out/09-10-13-14/bit1_samples813,out/09-10-13-14/base_samples813,813,1,2020-09-10 20:14:11,2020-09-10 20:15:22,813,2e11a8eb-e6fa-4b24-8f20-1442cbaf19b9,1,
out/09-10-13-14/log,d4028766-5fc2-4ade-9db6-8431203d9cec,A6:F0:27:C4:9A:3E,out/09-10-13-14/bit0_samples64,out/09-10-13-14/bit1_samples64,out/09-10-13-14/base_samples64,256,1,2020-09-10 20:14:02,2020-09-10 20:15:21,64,f3b4fb45-6912-4fff-8065-9f426a993778,1,
out/09-10-13-14/log,846eb84e-b806-42b7-a8cd-5607050504f7,BE:43:55:DE:B4:66,out/09-10-13-14/bit0_samples898,out/09-10-13-14/bit1_samples898,out/09-10-13-14/base_samples898,898,1,2020-09-10 20:14:18,2020-09-10 20:15:21,898,75634552-c628-4dc3-8ef2-e672015641b9,1,
out/09-10-13-14/log,d0aabc70-cf77-48c9-b82e-bbb60ec6cb4a,72:1F:77:84:D9:F3,out/09-10-13-14/bit0_samples506,out/09-10-13-14/bit1_samples506,out/09-10-13-14/base_samples506,506,1,2020-09-10 20:14:02,2020-09-10 20:15:21,506,12b8b6e7-79df-4556-a261-1750e803607b,1,
